path_count,dt,avg,std,time
1,0.00100,0.24,0.00,87
1,0.00200,0.47,0.00,85
1,0.00300,0.20,0.00,36
1,0.00400,1.07,0.00,93
1,0.00500,0.24,0.00,28
1,0.00600,0.25,0.00,27
1,0.00700,0.51,0.00,35
1,0.00800,0.29,0.00,27
1,0.00900,0.27,0.00,28
1,0.01000,0.26,0.00,20
1,0.01100,0.20,0.00,19
1,0.01200,0.70,0.00,35
1,0.01300,0.33,0.00,20
1,0.01400,0.31,0.00,20
1,0.01500,0.54,0.00,28
1,0.01600,0.66,0.00,31
1,0.01700,0.71,0.00,32
1,0.01800,0.70,0.00,28
1,0.01900,0.74,0.00,28
1,0.02000,0.84,0.00,27
2,0.00100,0.24,0.09,110
2,0.00200,0.31,0.11,77
2,0.00300,0.25,0.08,53
2,0.00400,0.23,0.07,52
2,0.00500,0.42,0.02,61
2,0.00600,0.48,0.18,44
2,0.00700,0.46,0.20,43
2,0.00800,0.38,0.12,44
2,0.00900,0.65,0.04,53
2,0.01000,0.37,0.12,44
2,0.01100,0.37,0.13,44
2,0.01200,0.74,0.22,52
2,0.01300,0.92,0.31,44
2,0.01400,0.52,0.22,45
2,0.01500,0.42,0.16,36
2,0.01600,1.09,0.50,60
2,0.01700,0.40,0.04,49
2,0.01800,0.47,0.11,45
2,0.01900,0.70,0.32,51
2,0.02000,0.40,0.04,35
3,0.00100,0.16,0.10,105
3,0.00200,0.47,0.22,142
3,0.00300,0.36,0.28,118
3,0.00400,0.27,0.06,68
3,0.00500,0.22,0.06,52
3,0.00600,0.32,0.10,61
3,0.00700,0.28,0.12,53
3,0.00800,0.42,0.16,69
3,0.00900,0.58,0.04,60
3,0.01000,0.49,0.28,69
3,0.01100,0.42,0.07,52
3,0.01200,0.80,0.36,61
3,0.01300,0.67,0.27,69
3,0.01400,1.01,0.79,84
3,0.01500,0.30,0.03,52
3,0.01600,0.44,0.12,52
3,0.01700,0.61,0.14,53
3,0.01800,0.62,0.28,52
3,0.01900,0.96,0.07,60
3,0.02000,1.01,0.51,68
4,0.00100,0.25,0.11,166
4,0.00200,0.35,0.07,118
4,0.00300,0.39,0.14,96
4,0.00400,0.54,0.41,110
4,0.00500,0.34,0.09,76
4,0.00600,0.48,0.10,77
4,0.00700,0.42,0.16,70
4,0.00800,0.55,0.23,77
4,0.00900,0.46,0.28,61
4,0.01000,0.34,0.14,60
4,0.01100,0.53,0.25,76
4,0.01200,0.89,0.61,77
4,0.01300,0.59,0.23,77
4,0.01400,1.00,0.49,77
4,0.01500,0.48,0.19,68
4,0.01600,0.80,0.32,60
4,0.01700,0.40,0.16,61
4,0.01800,0.85,0.62,61
4,0.01900,0.86,0.59,85
4,0.02000,0.37,0.21,61
5,0.00100,0.16,0.11,167
5,0.00200,0.33,0.15,102
5,0.00300,0.33,0.12,109
5,0.00400,0.25,0.08,76
5,0.00500,0.57,0.32,93
5,0.00600,0.35,0.02,76
5,0.00700,0.50,0.20,85
5,0.00800,0.30,0.13,61
5,0.00900,0.45,0.30,69
5,0.01000,0.34,0.08,69
5,0.01100,0.62,0.24,85
5,0.01200,0.57,0.23,68
5,0.01300,0.38,0.22,76
5,0.01400,0.53,0.35,61
5,0.01500,0.44,0.16,60
5,0.01600,0.34,0.11,61
5,0.01700,0.70,0.21,76
5,0.01800,0.84,0.33,77
5,0.01900,0.65,0.29,69
5,0.02000,0.68,0.26,61
6,0.00100,0.22,0.15,159
6,0.00200,0.38,0.22,151
6,0.00300,0.31,0.17,94
6,0.00400,0.46,0.14,86
6,0.00500,0.44,0.16,85
6,0.00600,0.43,0.22,77
6,0.00700,0.51,0.36,94
6,0.00800,0.43,0.14,88
6,0.00900,0.55,0.39,85
6,0.01000,0.35,0.09,61
6,0.01100,0.78,0.40,78
6,0.01200,0.65,0.40,104
6,0.01300,0.38,0.14,63
6,0.01400,0.56,0.34,78
6,0.01500,0.63,0.72,86
6,0.01600,0.95,0.54,85
6,0.01700,0.48,0.16,61
6,0.01800,0.77,0.37,77
6,0.01900,0.62,0.39,69
6,0.02000,1.00,0.52,77
7,0.00100,0.15,0.06,119
7,0.00200,0.27,0.14,127
7,0.00300,0.39,0.16,123
7,0.00400,0.48,0.36,126
7,0.00500,0.27,0.05,77
7,0.00600,0.29,0.04,77
7,0.00700,0.52,0.35,110
7,0.00800,0.44,0.26,76
7,0.00900,0.59,0.41,101
7,0.01000,0.61,0.25,86
7,0.01100,0.53,0.25,85
7,0.01200,0.60,0.25,77
7,0.01300,0.45,0.30,77
7,0.01400,0.75,0.42,76
7,0.01500,0.92,0.62,94
7,0.01600,0.48,0.12,70
7,0.01700,0.50,0.17,69
7,0.01800,0.49,0.24,69
7,0.01900,0.39,0.10,72
7,0.02000,0.52,0.24,68
8,0.00100,0.23,0.09,151
8,0.00200,0.42,0.25,167
8,0.00300,0.45,0.28,143
8,0.00400,0.39,0.22,110
8,0.00500,0.29,0.08,94
8,0.00600,0.48,0.28,117
8,0.00700,0.56,0.29,101
8,0.00800,0.41,0.14,93
8,0.00900,0.60,0.54,94
8,0.01000,0.55,0.31,109
8,0.01100,0.43,0.17,76
8,0.01200,0.73,0.38,93
8,0.01300,0.52,0.22,77
8,0.01400,0.55,0.24,77
8,0.01500,0.66,0.49,77
8,0.01600,0.50,0.28,77
8,0.01700,0.55,0.36,95
8,0.01800,0.96,0.60,102
8,0.01900,0.68,0.38,77
8,0.02000,0.55,0.28,76
9,0.00100,0.22,0.12,167
9,0.00200,0.26,0.13,126
9,0.00300,0.36,0.31,134
9,0.00400,0.33,0.14,102
9,0.00500,0.32,0.11,86
9,0.00600,0.33,0.10,93
9,0.00700,0.68,0.37,110
9,0.00800,0.49,0.30,109
9,0.00900,0.48,0.19,85
9,0.01000,0.58,0.56,93
9,0.01100,0.42,0.23,76
9,0.01200,0.40,0.11,76
9,0.01300,0.71,0.36,85
9,0.01400,0.39,0.17,77
9,0.01500,0.43,0.27,85
9,0.01600,0.39,0.16,77
9,0.01700,0.39,0.13,69
9,0.01800,0.55,0.28,78
9,0.01900,0.60,0.43,77
9,0.02000,0.74,0.35,85
10,0.00100,0.23,0.07,143
10,0.00200,0.35,0.21,142
